uf;data;vitimas
AL;01/01/2016;1
AL;01/01/2016;1
AL;01/01/2016;2
AM;01/01/2016;1
DF;01/01/2016;1
MA;01/01/2016;1
MA;01/01/2016;1
MA;01/01/2016;1
MG;01/01/2016;1
MG;01/01/2016;1
MG;01/01/2016;1
MG;01/01/2016;1
MG;01/01/2016;1
MG;01/01/2016;1
MG;01/01/2016;1
MG;01/01/2016;1
MG;01/01/2016;1
MS;01/01/2016;1
PA;01/01/2016;1
PA;01/01/2016;4
PA;01/01/2016;1
PA;01/01/2016;1
PA;01/01/2016;1
PA;01/01/2016;1
PB;01/01/2016;1
PB;01/01/2016;1
PI;01/01/2016;1
PI;01/01/2016;1
PI;01/01/2016;1
PI;01/01/2016;1
RN;01/01/2016;1
RN;01/01/2016;1
RR;01/01/2016;3
RS;01/01/2016;1
RS;01/01/2016;1
RS;01/01/2016;1
RS;01/01/2016;1
RS;01/01/2016;1
RS;01/01/2016;1
RS;01/01/2016;1
RS;01/01/2016;2
RS;01/01/2016;1
RS;01/01/2016;1
SC;01/01/2016;1
SC;01/01/2016;1
SC;01/01/2016;1
SP;01/01/2016;3
AC;01/02/2016;1
AC;01/02/2016;1
AL;01/02/2016;1
AL;01/02/2016;1
AL;01/02/2016;2
ES;01/02/2016;1
ES;01/02/2016;1
MA;01/02/2016;1
MA;01/02/2016;1
MA;01/02/2016;1
MA;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MG;01/02/2016;1
MS;01/02/2016;1
PA;01/02/2016;1
PA;01/02/2016;1
PA;01/02/2016;1
PA;01/02/2016;1
PA;01/02/2016;1
PB;01/02/2016;1
PB;01/02/2016;1
PB;01/02/2016;1
PB;01/02/2016;1
PI;01/02/2016;1
RN;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
RS;01/02/2016;1
SC;01/02/2016;1
SC;01/02/2016;1
SC;01/02/2016;1
SC;01/02/2016;1
SC;01/02/2016;1
SC;01/02/2016;1
SP;01/02/2016;1
SP;01/02/2016;1
SP;01/02/2016;2
SP;01/02/2016;1
AL;01/03/2016;1
AL;01/03/2016;1
AL;01/03/2016;1
DF;01/03/2016;1
DF;01/03/2016;1
DF;01/03/2016;1
ES;01/03/2016;1
ES;01/03/2016;1
ES;01/03/2016;1
ES;01/03/2016;1
ES;01/03/2016;1
ES;01/03/2016;1
MA;01/03/2016;1
MA;01/03/2016;1
MA;01/03/2016;1
MA;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;1
MG;01/03/2016;2
MG;01/03/2016;1
PA;01/03/2016;1
PB;01/03/2016;1
PI;01/03/2016;1
PI;01/03/2016;1
PI;01/03/2016;1
PI;01/03/2016;1
PI;01/03/2016;1
PI;01/03/2016;1
PI;01/03/2016;1
PI;01/03/2016;1
PI;01/03/2016;1
RN;01/03/2016;2
RN;01/03/2016;1
RS;01/03/2016;3
RS;01/03/2016;1
RS;01/03/2016;1
RS;01/03/2016;1
RS;01/03/2016;1
RS;01/03/2016;1
RS;01/03/2016;1
RS;01/03/2016;1
SC;01/03/2016;2
SC;01/03/2016;1
SC;01/03/2016;1
SC;01/03/2016;1
SC;01/03/2016;1
SC;01/03/2016;1
SC;01/03/2016;1
SP;01/03/2016;1
SP;01/03/2016;1
SP;01/03/2016;1
SP;01/03/2016;1
AC;01/04/2016;1
AL;01/04/2016;1
AL;01/04/2016;1
AL;01/04/2016;1
DF;01/04/2016;1
DF;01/04/2016;1
DF;01/04/2016;1
DF;01/04/2016;1
ES;01/04/2016;1
ES;01/04/2016;1
ES;01/04/2016;1
ES;01/04/2016;1
GO;01/04/2016;1
MA;01/04/2016;1
MG;01/04/2016;1
MG;01/04/2016;1
MG;01/04/2016;1
MG;01/04/2016;1
MG;01/04/2016;1
MG;01/04/2016;1
MG;01/04/2016;1
MG;01/04/2016;1
PA;01/04/2016;1
PA;01/04/2016;3
PA;01/04/2016;1
PA;01/04/2016;1
PB;01/04/2016;1
PI;01/04/2016;1
RN;01/04/2016;1
RN;01/04/2016;1
RN;01/04/2016;1
RN;01/04/2016;1
RS;01/04/2016;1
RS;01/04/2016;1
RS;01/04/2016;2
RS;01/04/2016;1
RS;01/04/2016;1
RS;01/04/2016;1
RS;01/04/2016;1
RS;01/04/2016;1
RS;01/04/2016;1
RS;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SC;01/04/2016;1
SP;01/04/2016;1
SP;01/04/2016;1
SP;01/04/2016;1
SP;01/04/2016;1
SP;01/04/2016;3
AC;01/05/2016;1
AL;01/05/2016;1
AL;01/05/2016;1
AL;01/05/2016;1
AL;01/05/2016;1
AM;01/05/2016;1
AM;01/05/2016;1
DF;01/05/2016;1
ES;01/05/2016;1
MA;01/05/2016;1
MG;01/05/2016;1
MG;01/05/2016;1
MG;01/05/2016;1
MG;01/05/2016;1
MG;01/05/2016;1
MG;01/05/2016;1
MG;01/05/2016;1
MG;01/05/2016;1
MS;01/05/2016;1
PA;01/05/2016;1
PA;01/05/2016;1
PA;01/05/2016;1
PA;01/05/2016;1
PA;01/05/2016;1
PB;01/05/2016;1
PB;01/05/2016;1
PB;01/05/2016;1
PI;01/05/2016;1
PI;01/05/2016;1
RN;01/05/2016;1
RN;01/05/2016;2
RN;01/05/2016;1
RS;01/05/2016;1
RS;01/05/2016;1
RS;01/05/2016;1
SC;01/05/2016;1
SC;01/05/2016;1
SC;01/05/2016;1
SP;01/05/2016;1
SP;01/05/2016;1
SP;01/05/2016;1
SP;01/05/2016;1
SP;01/05/2016;1
SP;01/05/2016;1
SP;01/05/2016;1
SP;01/05/2016;1
AC;01/06/2016;2
AL;01/06/2016;1
AM;01/06/2016;1
AM;01/06/2016;1
DF;01/06/2016;1
ES;01/06/2016;1
GO;01/06/2016;1
MA;01/06/2016;1
MA;01/06/2016;1
MA;01/06/2016;1
MA;01/06/2016;1
MG;01/06/2016;1
MG;01/06/2016;1
MG;01/06/2016;1
MG;01/06/2016;1
MG;01/06/2016;1
MG;01/06/2016;1
MG;01/06/2016;1
PA;01/06/2016;2
PA;01/06/2016;1
PA;01/06/2016;1
PA;01/06/2016;1
PA;01/06/2016;1
PA;01/06/2016;1
PI;01/06/2016;1
PI;01/06/2016;1
PI;01/06/2016;1
RN;01/06/2016;1
RN;01/06/2016;1
RS;01/06/2016;1
RS;01/06/2016;1
RS;01/06/2016;1
RS;01/06/2016;1
SC;01/06/2016;1
SC;01/06/2016;1
SP;01/06/2016;1
SP;01/06/2016;1
SP;01/06/2016;1
SP;01/06/2016;1
SP;01/06/2016;2
SP;01/06/2016;1
AC;01/07/2016;1
AC;01/07/2016;2
AC;01/07/2016;1
AL;01/07/2016;1
AL;01/07/2016;1
AM;01/07/2016;1
DF;01/07/2016;1
ES;01/07/2016;1
ES;01/07/2016;1
ES;01/07/2016;2
ES;01/07/2016;1
MA;01/07/2016;1
MG;01/07/2016;1
MG;01/07/2016;1
MG;01/07/2016;1
MG;01/07/2016;1
MG;01/07/2016;2
MG;01/07/2016;1
MG;01/07/2016;1
MG;01/07/2016;1
PA;01/07/2016;1
PA;01/07/2016;1
PA;01/07/2016;1
PA;01/07/2016;1
PA;01/07/2016;1
PA;01/07/2016;1
PA;01/07/2016;1
PB;01/07/2016;1
PB;01/07/2016;1
PB;01/07/2016;1
PI;01/07/2016;1
PI;01/07/2016;1
PI;01/07/2016;1
RS;01/07/2016;1
RS;01/07/2016;1
RS;01/07/2016;1
RS;01/07/2016;1
RS;01/07/2016;2
SC;01/07/2016;1
SP;01/07/2016;1
SP;01/07/2016;1
SP;01/07/2016;1
AL;01/08/2016;1
AL;01/08/2016;1
AL;01/08/2016;1
AL;01/08/2016;1
AL;01/08/2016;1
AM;01/08/2016;1
DF;01/08/2016;1
ES;01/08/2016;1
ES;01/08/2016;2
ES;01/08/2016;1
ES;01/08/2016;1
GO;01/08/2016;2
GO;01/08/2016;1
MA;01/08/2016;1
MG;01/08/2016;1
MG;01/08/2016;1
MG;01/08/2016;1
MG;01/08/2016;1
MG;01/08/2016;1
MG;01/08/2016;1
MS;01/08/2016;1
PA;01/08/2016;1
PB;01/08/2016;1
PI;01/08/2016;1
PI;01/08/2016;1
RN;01/08/2016;1
RN;01/08/2016;1
RN;01/08/2016;2
RN;01/08/2016;2
RN;01/08/2016;1
RN;01/08/2016;1
RN;01/08/2016;1
RN;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;1
RS;01/08/2016;2
SC;01/08/2016;1
SC;01/08/2016;1
SC;01/08/2016;1
SC;01/08/2016;1
SP;01/08/2016;1
SP;01/08/2016;1
SP;01/08/2016;1
SP;01/08/2016;1
SP;01/08/2016;1
SP;01/08/2016;1
AL;01/09/2016;1
DF;01/09/2016;2
DF;01/09/2016;1
ES;01/09/2016;1
ES;01/09/2016;1
ES;01/09/2016;1
ES;01/09/2016;1
ES;01/09/2016;2
ES;01/09/2016;1
GO;01/09/2016;1
MA;01/09/2016;1
MA;01/09/2016;1
MA;01/09/2016;1
MG;01/09/2016;1
MG;01/09/2016;1
MG;01/09/2016;1
MG;01/09/2016;1
MG;01/09/2016;1
MG;01/09/2016;1
MG;01/09/2016;1
MG;01/09/2016;1
MG;01/09/2016;1
MS;01/09/2016;1
PA;01/09/2016;1
PA;01/09/2016;1
PA;01/09/2016;1
PB;01/09/2016;1
PB;01/09/2016;1
PI;01/09/2016;1
RN;01/09/2016;1
RN;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
RS;01/09/2016;1
SC;01/09/2016;1
SP;01/09/2016;1
SP;01/09/2016;1
SP;01/09/2016;1
SP;01/09/2016;1
SP;01/09/2016;1
SP;01/09/2016;1
AC;01/10/2016;1
AL;01/10/2016;1
AL;01/10/2016;2
AL;01/10/2016;1
AL;01/10/2016;1
AM;01/10/2016;1
ES;01/10/2016;1
ES;01/10/2016;1
ES;01/10/2016;1
GO;01/10/2016;1
MA;01/10/2016;1
MA;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
MG;01/10/2016;1
PA;01/10/2016;2
PA;01/10/2016;1
PB;01/10/2016;1
PI;01/10/2016;1
RJ;01/10/2016;1
RJ;01/10/2016;1
RN;01/10/2016;1
RN;01/10/2016;1
RN;01/10/2016;1
RS;01/10/2016;1
RS;01/10/2016;1
RS;01/10/2016;1
RS;01/10/2016;1
RS;01/10/2016;1
SC;01/10/2016;1
SC;01/10/2016;1
SC;01/10/2016;1
SC;01/10/2016;1
SP;01/10/2016;1
SP;01/10/2016;1
SP;01/10/2016;1
SP;01/10/2016;1
SP;01/10/2016;1
SP;01/10/2016;1
AC;01/11/2016;1
AC;01/11/2016;1
AC;01/11/2016;1
AL;01/11/2016;1
AL;01/11/2016;1
AL;01/11/2016;1
AL;01/11/2016;1
AM;01/11/2016;2
DF;01/11/2016;1
DF;01/11/2016;1
DF;01/11/2016;1
DF;01/11/2016;1
GO;01/11/2016;1
MA;01/11/2016;1
MG;01/11/2016;1
MG;01/11/2016;1
MG;01/11/2016;1
MG;01/11/2016;1
MG;01/11/2016;1
MG;01/11/2016;1
MG;01/11/2016;1
MG;01/11/2016;1
MG;01/11/2016;2
MG;01/11/2016;1
MS;01/11/2016;1
PA;01/11/2016;1
PA;01/11/2016;1
PB;01/11/2016;1
PB;01/11/2016;1
PB;01/11/2016;1
PB;01/11/2016;1
PI;01/11/2016;1
RJ;01/11/2016;1
RJ;01/11/2016;1
RJ;01/11/2016;2
RJ;01/11/2016;1
RJ;01/11/2016;1
RJ;01/11/2016;1
RJ;01/11/2016;3
RN;01/11/2016;1
RN;01/11/2016;1
RN;01/11/2016;1
RS;01/11/2016;2
RS;01/11/2016;1
RS;01/11/2016;1
RS;01/11/2016;1
RS;01/11/2016;1
RS;01/11/2016;1
SC;01/11/2016;2
SC;01/11/2016;1
SC;01/11/2016;1
SC;01/11/2016;1
SP;01/11/2016;1
SP;01/11/2016;1
SP;01/11/2016;1
SP;01/11/2016;1
SP;01/11/2016;1
AL;01/12/2016;1
AM;01/12/2016;1
DF;01/12/2016;1
DF;01/12/2016;1
ES;01/12/2016;1
GO;01/12/2016;2
MA;01/12/2016;1
MA;01/12/2016;1
MA;01/12/2016;1
MA;01/12/2016;1
MA;01/12/2016;1
MA;01/12/2016;1
MA;01/12/2016;1
MA;01/12/2016;1
MA;01/12/2016;1
MG;01/12/2016;1
MG;01/12/2016;2
MG;01/12/2016;1
MG;01/12/2016;1
MG;01/12/2016;1
MG;01/12/2016;1
MG;01/12/2016;1
MG;01/12/2016;1
MG;01/12/2016;1
MG;01/12/2016;1
MG;01/12/2016;1
MS;01/12/2016;1
PA;01/12/2016;1
PA;01/12/2016;1
PB;01/12/2016;1
PB;01/12/2016;1
PI;01/12/2016;1
PI;01/12/2016;1
RJ;01/12/2016;1
RJ;01/12/2016;1
RJ;01/12/2016;2
RN;01/12/2016;1
RN;01/12/2016;1
RN;01/12/2016;1
RS;01/12/2016;1
RS;01/12/2016;1
RS;01/12/2016;1
RS;01/12/2016;1
RS;01/12/2016;1
RS;01/12/2016;1
RS;01/12/2016;1
RS;01/12/2016;1
RS;01/12/2016;1
SC;01/12/2016;1
SC;01/12/2016;1
SC;01/12/2016;1
SC;01/12/2016;1
SC;01/12/2016;1
SC;01/12/2016;1
SC;01/12/2016;1
SP;01/12/2016;1
SP;01/12/2016;1
SP;01/12/2016;1
